PX,Main,"Midblock Route","Side 1 Route","Side 2 Route","Activation Date",Latitude,Longitude,"Count Date",8HrVehVol,8HrPedVol
674,"BATHURST ST",,"HORSHAM AVE","BLUE FLAG GT",01-Jun-1965,43.7686039,-79.441657,2015/03/23,17483,170
675,"BATHURST ST",,"FINCH AVE W",,20-Mar-1962,43.7738567,-79.442978,2015/03/28,30852,3320
676,"BATHURST ST",,"DREWRY AVE","ANTIBES DR",08-Oct-1966,43.7810687,-79.44481,2015/03/23,25127,1614
677,"BATHURST ST",,"ROCKFORD RD","DEWLANE DR",29-Dec-1966,43.785938,-79.446008,2015/03/23,21721,1193
678,"STEELES AVE W",,"BATHURST ST",,02-Feb-1966,43.79245,-79.445714,2015/03/23,36119,3202
681,"LAIRD DR",,"MCRAE DR","WICKSTEED AVE",01-Jan-1957,43.710376,-79.363498,2015/01/14,16676,431
689,"WARDEN AVE",,"FIRVALLEY CRT",,23-Dec-1965,43.70369,-79.27748,2015/05/06,8457,821
697,"ELLESMERE RD",,"MIDLAND AVE",,28-Dec-1965,43.76799,-79.27111,2015/07/16,31022,1667
699,"MCCOWAN RD",,"ELLESMERE RD",,31-Dec-1965,43.7722,-79.25149,2015/05/02,29600,1601
706,"DUNDAS ST W",,"ISLINGTON AVE",,31-Mar-1960,43.65141,-79.52639,2015/04/18,25246,625
721,"WESTON RD",,"MCCORMACK ST","PRIVATE ACCESS",18-Sep-1969,43.67725,-79.47187,2015/04/22,16442,270
729,"EGLINTON AVE W",,"KIPLING AVE",,01-Jan-1962,43.67725,-79.5509,2015/09/15,31302,1176
731,"KIPLING AVE",,"BELFIELD RD",,10-Jul-1968,43.70491,-79.56347,2015/05/19,20664,235
732,"REXDALE BLVD",,"KIPLING AVE",,31-Jan-1958,43.71173,-79.5667,2015/05/15,32041,1658
753,"LESLIE ST",,"401 C W LESLIE ST RAMP",,06-Mar-1968,43.76726,-79.36365,2015/05/20,36440,141
760,"WARDEN AVE",,"401 C W WARDEN AV RAMP",,22-Aug-1966,43.771566534,-79.304899276,2015/05/05,31051,14
761,"WARDEN AVE",,"401 C E WARDEN AV S RAMP",,06-Jul-1968,43.76903,-79.30366,2015/05/05,31679,13
765,"KIPLING AVE",,"EVANS AVE",,19-Jan-1961,43.61589,-79.52461,2015/05/20,27591,1056
769,"ST CLAIR AVE W",,"NORTHCLIFFE BLVD",,23-Jun-1981,43.67845,-79.44084,2015/08/12,7611,2837
777,"DUNDAS ST W",,"BURNHAMTHORPE RD","CORDOVA AVE",04-Jun-1959,43.6488,-79.52873,2015/04/18,15473,2256
781,"EGLINTON AVE W",,"ROYAL YORK RD",,01-Jan-1959,43.68232,-79.52656,2015/06/04,29589,564
790,"REXDALE BLVD",,"MARTIN GROVE RD",,12-Mar-1963,43.71388,-79.58106,2015/01/14,24168,299
814,"WILSON AVE",,"HWY 401 WB OFF RAMP",,23-Nov-1964,43.73662,-79.43785,2015/06/15,15426,655
818,"EASTERN AVE",,"LOGAN AVE",,10-Aug-1953,43.65787,-79.341377,2015/08/17,10832,609
824,"WOODBINE AVE",,"CORLEY AVE","EASTWOOD RD",14-Dec-1955,43.67648,-79.30894,2015/04/02,10426,698
831,"COLLEGE ST",,"LANSDOWNE AVE",,14-Oct-1948,43.651,-79.44002,2015/06/08,13586,2375
841,"DUPONT ST",,"CHRISTIE ST",,04-Jan-1946,43.67165,-79.42156,2015/09/08,15775,1568
845,"DUPONT ST",,"SYMINGTON AVE",,31-May-1950,43.66576,-79.45126,2015/04/22,13748,1529
860,"ST CLAIR AVE W",,"DEER PARK CRES",,18-Sep-1969,43.6873,-79.398,2015/08/24,11639,6520
888,"KIPLING AVE",,"KINGSVIEW BLVD",,26-Feb-1970,43.69694,-79.55984,2015/05/19,13903,310
903,"DUNDAS ST E",,"SUMACH ST",,14-Aug-1970,43.6607,-79.36046,2015/04/13,8486,1513
914,"WARDEN AVE",,"MANHATTAN DR",,12-Oct-1970,43.75196,-79.29739,2015/05/05,19109,230
918,"BATHURST ST",,"VESTA DR","RIDGE HILL DR",23-Dec-1970,43.7034,-79.4259,2015/04/01,15765,1016
938,"SHEPPARD AVE E",,"MCCOWAN RD",,14-Jul-1971,43.78964,-79.25883,2015/05/02,34425,2423
939,"MCCOWAN RD",,"401 C W MCCOWAN RD S RAMP",,21-Jul-1971,43.78272346,-79.25545156,2015/05/02,38670,206
940,"MCCOWAN RD",,"CONSILIUM PL","401 C E MCCOWAN RD RAMP",21-Jul-1971,43.7796,-79.254112,2015/05/02,34231,99
944,"DANFORTH AVE",,"MONARCH PARK AVE",,17-Nov-1971,43.6826,-79.32714,2015/05/07,11318,1972
950,"BURNHAMTHORPE RD",,"427 C S RATHBURN E RAMP",,29-Sep-1971,43.645080301,-79.565149937,2015/05/20,26578,147
951,"MCCOWAN RD",,"BRIMORTON DR",,15-Sep-1971,43.76544,-79.24894,2015/04/29,18068,319
959,"KENNEDY RD",,"WICKWARE GT","PRIVATE ACCESS",30-Dec-1971,43.75325,-79.27629,2015/08/05,19566,416
979,"BATHURST ST",,"CARSCADDEN DR","ELLERSLIE AVE",16-Jun-1972,43.76546,-79.44087,2015/03/23,18638,275
981,"BATHURST ST",,"BAYCREST AVE",,16-May-1973,43.72963,-79.43213,2015/03/31,18651,1584
996,"MCCOWAN RD",,"ST ANDREWS RD",,22-May-1973,43.76007,-79.246861,2015/04/29,15117,159
1034,"PHARMACY AVE",,"TEESDALE PL",,25-Jan-1974,43.69701,-79.28537,2015/06/15,5145,711
1035,"FINCH AVE E",,"WARDEN AVE",,05-Feb-1974,43.79683,-79.31576,2015/05/05,27622,5416
1048,"DANFORTH AVE",,"LINNSMORE CRES",,15-Jun-1974,43.68208,-79.32975,2015/05/07,9904,3348
1051,"KENNEDY RD",,"MERRIAN RD","PRIVATE ACCESS",06-May-1974,43.72742,-79.26589,2015/07/21,9064,1701
1057,"KENNEDY RD",,"BERTRAND AVE",,23-Jul-1974,43.73747,-79.27011,2015/07/23,14179,700
1068,"KEELE ST",,"JUNCTION RD",,18-Jul-1973,43.6679,-79.46554,2015/04/22,15871,333
1087,"ST CLAIR AVE W",,"LAUGHTON AVE",,12-Sep-1974,43.67476,-79.45767,2015/04/23,9478,1265
1117,"DUNDAS ST E",,"MUNRO ST",,08-Dec-1975,43.66209,-79.35307,2015/04/02,9504,764
1129,"BATHURST ST",,"LAURELCREST AVE","RAEBURN AVE",27-Jun-1974,43.74427,-79.43569,2015/03/23,16394,530
1155,"STEELES AVE W",,"NORFINCH DR","400 N FINCH W RAMP",21-Nov-1975,43.77336,-79.5318,2015/05/13,24513,218
1168,"BATHURST ST",,"CODSELL AVE",,17-Jun-1981,43.75867,-79.43924,2015/03/23,18845,224
1175,"MCCOWAN RD",,"CHANNEL NINE CRT","MILNER AVE",14-Jul-1976,43.78542,-79.25652,2015/04/29,33357,743
1176,"FINCH AVE E",,"MCCOWAN RD",,04-Aug-1976,43.80806,-79.26645,2015/05/02,20529,3724
1177,"FINCH AVE E",,"SANDHURST CRCL",,09-Jan-1978,43.80723,-79.27039,2015/06/01,15835,2056
1192,"STEELES AVE E",,"KENNEDY RD",,12-May-1975,43.82371,-79.30705,2015/05/23,36162,3170
1194,"BATHURST ST",,"BAINBRIDGE AVE","RAOUL WALLENBERG",18-Nov-1977,43.75077,-79.43733,2015/03/23,17288,485
1211,"KIPLING AVE",,"BETHRIDGE RD","PRIVATE ACCESS",21-Dec-1977,43.70916,-79.5655,2015/05/19,15334,267
1214,"STEELES AVE W",,"FOUNDERS RD",,19-Oct-1978,43.77927,-79.50432,2015/05/13,22202,233
1230,"STEELES AVE W",,"HIDDEN TRL","CONLEY ST",21-Dec-1979,43.7887,-79.46326,2015/05/13,23916,600
1232,"STEELES AVE W",,"SIGNET DR","WESTON RD",05-Mar-1976,43.77097,-79.54343,2015/05/13,19719,736
1243,"MCCOWAN RD",,"HUNTINGWOOD DR","MIDDLEFIELD RD",26-May-1976,43.798691,-79.262554,2015/05/02,22286,143
1256,"STEELES AVE W",,"KIPLING AVE",,21-Nov-1979,43.75963,-79.5899,2015/05/18,22401,1133
1260,"STEELES AVE E",,"MIDLAND AVE",,11-Jan-1978,43.82601,-79.29731,2015/05/23,21533,1735
1263,"WARDEN AVE",,"BRIDLETOWNE CRCL",,21-May-1980,43.801499443,-79.318739623,2015/05/05,16630,1286
1264,"STEELES AVE E",,"SILVER STAR BLVD","OLD KENNEDY RD",30-Jun-1975,43.82536,-79.30007,2015/05/02,26409,3283
1267,"DANFORTH AVE",,"WESTLAKE AVE",,10-Feb-1978,43.68747,-79.3051,2015/05/07,11931,1366
1281,"DANFORTH AVE",,"EAST LYNN AVE","WOODMOUNT AVE",16-Jun-1980,43.68517,-79.31525,2015/05/07,10799,3094
1287,"WARDEN AVE",,"MCNICOLL AVE",,15-Jul-1980,43.80637,-79.32095,2015/05/05,24583,817
1294,"PHARMACY AVE",,"DENTON AVE",,29-Jun-1978,43.6939424,-79.2840684,2015/06/15,5109,833
1304,"DAVENPORT RD",,"SYMINGTON AVE",,07-Jun-1979,43.67074,-79.45323,2015/04/23,9648,898
1305,"DUNDAS ST W",,"RONCESVALLES AVE",,29-Dec-1975,43.65388,-79.45181,2015/04/11,8966,2818
1350,"DUNDAS ST W",,"AUKLAND RD",,21-Nov-1980,43.63853,-79.538,2015/05/20,23209,1458
1356,"MCCOWAN RD",,"BUSHBY DR","TOWN CENTRE CRT",10-May-1984,43.77469,-79.2523,2015/05/02,22382,1082
