PX,Main,"Midblock Route","Side 1 Route","Side 2 Route","Activation Date",Latitude,Longitude,"Count Date",8HrVehVol,8HrPedVol
1811,"LAKE SHORE BLVD E",,"NORTHERN DANCER BLVD","PRIVATE ACCESS",18-Aug-1998,43.6634,-79.30969,2015/05/20,13170,390
1818,"ROYAL YORK RD",,"NEWCASTLE ST",,07-Aug-1999,43.61751,-79.49893,2015/01/06,8244,505
1850,"DANFORTH AVE",,"THYRA AVE","PRIVATE ACCESS",14-Jun-2000,43.69081,-79.29025,2015/05/07,12898,3440
1851,"KING ST W",,"SUDBURY ST","PRIVATE ACCESS",02-Jul-2000,43.64101,-79.41727,2015/08/24,10301,1835
1852,"DUNDAS ST W","275m EAST OF","ROYAL YORK RD","PRIVATE ACCESS",20-Jan-2000,43.659460348,-79.513578197,2015/04/18,16092,318
1855,"KIPLING AVE",,"LONGFIELD RD","THE KINGSWAY",07-Jun-2000,43.6736,-79.5493,2015/09/15,11307,313
1878,"DUNDAS ST W",,"MANNING AVE",,14-Nov-2000,43.65135,-79.41091,2015/04/08,8875,2028
1879,"THE QUEENSWAY",,"GLENDALE AVE",,31-Aug-2001,43.63932,-79.45129,2015/03/04,13888,555
1883,"BATHURST ST",,"ADELAIDE ST W",,09-Nov-2001,43.64521,-79.40321,2015/08/18,12296,1573
1889,"DANFORTH AVE","200m EAST OF","MAIN ST","PRIVATE ACCESS",02-Jun-2001,43.688678457,-79.299528301,2015/05/07,12920,3473
1905,"DUNDAS ST E",,"VICTORIA ST",,19-Sep-2002,43.6563,-79.37955,2015/04/13,8889,10912
1915,"STEELES AVE W","185m WEST OF","HIDDEN TRL","PRIVATE ACCESS",17-Jun-2003,43.78824,-79.46537,2015/05/13,24345,392
1919,"BATHURST ST",,"FORT YORK BLVD",,13-Aug-2002,43.63887,-79.40062,2015/04/12,11653,5808
1941,"COMSTOCK RD",,"LEBOVIC AVE",,19-Oct-2005,43.72071,-79.28872,2015/06/15,6961,101
1951,"LAKE SHORE BLVD E","224m WEST OF","WOODBINE AVE",,23-Dec-2002,43.66439,-79.30624,2015/05/20,11567,270
1969,"QUEEN ST W",,"PALMERSTON AVE","TECUMSETH ST",30-Oct-2003,43.64672,-79.40654,2015/09/02,10538,6170
1980,"STEELES AVE W",,"SIGNAL HILL AVE","PRIVATE ACCESS",08-Oct-2003,43.75306,-79.62511,2015/05/15,16258,305
1984,"KING ST W",,"SPENCER AVE",,06-Jun-2003,43.63823,-79.4309,2015/10/07,9259,2198
1987,"DUNDAS ST E",,"ONTARIO ST",,09-Nov-2004,43.65889,-79.36857,2015/04/13,6416,2459
2006,"MCCOWAN RD","180m NORTH OF","LAWRENCE AVE E","PRIVATE ACCESS",19-Jul-2005,43.75697,-79.24562,2015/05/04,15900,156
2021,"MCCOWAN RD","120m NORTH OF","ELLESMERE RD","PRIVATE ACCESS",10-Dec-2004,43.773277574,-79.251751453,2015/04/29,20670,712
2033,"STEELES AVE E",,"REDLEA AVE","PRIVATE ACCESS",25-Aug-2005,43.824129268,-79.30504024,2015/05/30,18557,1232
2038,"STEELES AVE W","200m EAST OF","ALNESS ST","PRIVATE ACCESS",16-Mar-2005,43.78535,-79.47835,2015/05/13,22949,278
2040,"GARDINER E PARK LAWN RD RAMP",,"LEGION RD N",,22-Dec-2006,43.62518,-79.48925,2015/01/20,7957,0
2049,"PASSMORE AVE",,"SILVER STAR BLVD",,25-Apr-2006,43.81999,-79.2981,2015/05/23,8111,91
2056,"QUEEN ST E",,"ELMER AVE",,18-Aug-2005,43.6693,-79.3035,2015/06/08,9545,1951
2069,"ASHTONBEE RD",,"HAKIMI AVE","PRIVATE ACCESS",26-Oct-2010,43.73,-79.29195,2015/06/15,7898,472
2097,"DUPONT ST",,"EDWIN AVE",,11-Apr-2007,43.66491,-79.45549,2015/04/22,9816,856
2119,"KIPLING AVE",,"PENLEA AVE",,26-Sep-2007,43.74102,-79.58096,2015/05/15,12364,538
2120,"KIPLING AVE",,"HENLEY CRES",,02-Aug-2007,43.73054,-79.57583,2015/05/15,11881,363
2123,"ROYAL YORK RD","16m SOUTH OF","GOVERNMENT RD",,14-Jun-2007,43.657570269,-79.515965134,2015/06/04,12271,141
2133,"BATHURST ST",,"CARIBOU RD","DELL PARK AVE",04-Oct-2007,43.717574847,-79.429611429,2015/03/31,20431,1592
2137,"KIPLING AVE",,"HINTON RD","PRIVATE ACCESS",05-Dec-2007,43.72572,-79.5734,2015/05/15,11809,438
2139,"KIPLING AVE",,"SNARESBROOK DR","PRIVATE ACCESS",06-Dec-2007,43.72172,-79.57148,2015/05/15,12809,640
2163,"BAMBURGH CRCL",,"WINTERMUTE BLVD",,20-May-2010,43.816115,-79.322537,2015/06/01,3793,667
2179,"MORTIMER AVE",,"WOODMOUNT AVE",,18-Sep-2008,43.69198,-79.31817,2015/06/22,5772,191
2189,"ROYAL YORK RD",,"ALLANHURST DR",,19-Aug-2008,43.67931,-79.52527,2015/06/04,11434,155
2200,"PHARMACY AVE","20m SOUTH OF","ALBION AVE",,17-Sep-2009,43.69564,-79.28478,2015/06/08,4328,659
2201,"SANDHURST CRCL","235m NORTH OF","FINCH AVE E",,23-Jan-2009,43.809225078,-79.271400431,2015/06/02,2481,1772
2253,"BATHURST ST",,"NASSAU ST","PRIVATE ACCESS",25-Jan-2011,43.654296,-79.406841,2015/04/02,10334,2241
2258,"WARDEN AVE",,"LUPIN DR",,20-Nov-2010,43.7655756,-79.3022333,2015/05/05,26701,93
2275,"BATHURST ST","70m SOUTH OF","KENTON DR","PRIVATE ACCESS",16-Dec-2011,43.77748,-79.44395,2015/03/23,21210,81
2311,"GUNNS RD","150m NORTH OF","ST CLAIR AVE W","PRIVATE ACCESS",07-Feb-2014,43.673046,-79.472209,2015/04/22,4240,176
2312,"STEELES AVE W",,"ALBION RD","REGIONAL RD 50",01-Aug-2012,43.74985,-79.63929,2015/05/15,29577,19
2316,"FRONT ST W",,"PORTLAND ST",,20-Mar-2012,43.64145,-79.39882,2015/06/15,5875,1283
2332,"STEELES AVE W",,"GIHON SPRING DR","PRIVATE ACCESS",25-Feb-2013,43.759258,-79.597022,2015/05/15,18164,101
